app_id,domain
com.vividgames.skijumping2012,www.kalypsomedia.com
com.npi.wearminilauncher,plus.google.com
com.MalibuJacks.BlockPartySportsFREE,www.malibujacks.net
se.swedbank.mobil,www.swedbank.se
com.schwans.homeservices,www.schwans.com
org.malwarebytes.antimalware,www.malwarebytes.com
com.teddynursery.nursery.wheelsonthebus.gabrielurraca,entreconsulta.com
com.grindrapp.android,www.grindr.com
bhakti.sagar.durgaji.clock.lwp,bhaktisagarpolicies.wordpress.com
biz.app4mobile.app_e3d681b76933494cb455d751c8070ff2.app,hamburgerseria.com
com.cbi.BibleReader,www.chinesebible.org.hk
com.coldfiregames.spaceclicker,www.coldfiregames.com
com.andromo.dev570801.app606924,inspirationalappsworld.blogspot.com
com.domobile.applock,www.domobile.com
com.remind101,www.remind.com
com.Slack,slack.com
com.roshi.name3Dtext.texteditor,goraapps.wordpress.com
com.mationmedia.skateboardgame,www.polyestergames.com
com.nullapp.piano,www.nullapp.com
com.asus.aicam,www.asus.com
se.maginteractive.wordbrain,wordbrain.maginteractive.com
hr.mireo.arthur,www.geniusmaps.com
com.bigcodegames.cookiecraze,www.bigcodegames.com
com.andromo.dev137436.app235587,hexe.he-internet.de
fm.castbox.audiobook.radio.podcast,castbox.fm
